company_name,customer_name,company_high_tech_market_segment,company_founded,company_estimated_revenue_range,company_number_of_employees,company_total_funding_amount,company_number_of_investors,company_country,company_number_of_portfolio,customer_high_tech_market_segment,customer_founded,customer_estimated_revenue_range,customer_number_of_employees,customer_total_funding_amount,customer_number_of_investors,customer_country,customer_number_of_portfolio,label
Advanced Hardware Architectures,Samsung,semiconductor,1988-01-01,,11-50,0.0,1.0,United States,0.0,electrical & electronics,,,,,,South Korea,,1
Advanced Hardware Architectures,Toshiba,semiconductor,1988-01-01,,11-50,0.0,1.0,United States,0.0,electrical & electronics,,,,,,Japan,,1
Advanced Hardware Architectures,Sony Electronics,semiconductor,1988-01-01,,11-50,0.0,1.0,United States,0.0,semiconductor,,,10001+,0.0,,United States,0.0,1
Advanced Hardware Architectures,NEC,semiconductor,1988-01-01,,11-50,0.0,1.0,United States,0.0,semiconductor,,,10001+,0.0,,Japan,0.0,1
Agere Systems,Agere Systems,semiconductor,1998-01-01,,,0.0,3.0,United States,0.0,semiconductor,1998-01-01,,,0.0,3.0,United States,0.0,1
AGLOGIC,Sony Electronics,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,semiconductor,,,10001+,0.0,,United States,0.0,1
Allegro DVT,Allwinner Technology,semiconductor,,$10M to $50M,,0.0,,France,0.0,semiconductor,2007-01-01,$100M to $500M,51-100,0.0,,China,0.0,1
Allegro DVT,Ambarella,semiconductor,,$10M to $50M,,0.0,,France,0.0,semiconductor,2004-01-01,,501-1000,0.0,4.0,United States,0.0,1
Allegro DVT,Amlogic,semiconductor,,$10M to $50M,,0.0,,France,0.0,semiconductor,1995-01-01,,501-1000,0.0,1.0,United States,0.0,1
Allegro DVT,Broadcom,semiconductor,,$10M to $50M,,0.0,,France,0.0,semiconductor,1991-01-01,,10001+,0.0,1.0,United States,0.0,1
Allegro DVT,CEVA,semiconductor,,$10M to $50M,,0.0,,France,0.0,semiconductor,2002-01-01,,501-1000,0.0,,United States,0.0,1
Allways Consulting,Texas Instruments,semiconductor,,,11-50,0.0,,,0.0,semiconductor,1930-01-01,,10001+,0.0,,United States,0.0,1
Allways Consulting,RFMD,semiconductor,,,11-50,0.0,,,0.0,electrical & electronics,1991-01-01,,,,,United States,,1
Allways Consulting,Qualcomm,semiconductor,,,11-50,0.0,,,0.0,semiconductor,1985-01-01,,10001+,0.0,,United States,0.0,1
Allways Consulting,Microchip,semiconductor,,,11-50,0.0,,,0.0,semiconductor,,,,,,United States,,1
Allways Consulting,Knowles Corporation,semiconductor,,,11-50,0.0,,,0.0,semiconductor,,,,0.0,,,0.0,1
Allways Consulting,Jabil,semiconductor,,,11-50,0.0,,,0.0,electrical & electronics,,0.0,10001.0,0.0,0.0,,1.0,1
Allways Consulting,NVIDIA,semiconductor,,,11-50,0.0,,,0.0,semiconductor,1993-01-01,,5001-10000,0.0,4.0,United States,0.0,1
Altium Limited,BAE Systems,semiconductor,1985-01-01,,,,,Australia,,semiconductor,1997-01-01,,,0.0,,United States,0.0,1
Amar Radio Corporation,ABB,semiconductor,,,,0.0,,,0.0,semiconductor,,$250 Mil. and over,,0.0,,,0.0,1
Amar Radio Corporation,Siemens,semiconductor,,,,0.0,,,0.0,semiconductor,,,,0.0,,Germany,0.0,1
Amar Radio Corporation,Intel,semiconductor,,,,0.0,,,0.0,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,1
Ambiq Micro,Sensory,semiconductor,2010-01-01,,101-500,0.0,17.0,United States,0.0,semiconductor,1994-01-01,$1M to $10M,,0.0,2.0,United States,0.0,1
Ambiq Micro,Vesper,semiconductor,2010-01-01,,101-500,0.0,17.0,United States,0.0,semiconductor,,,11-50,0.0,,United States,0.0,1
American Micrrosystems-INC,Dakota Supply Group,semiconductor,,,,0.0,,,0.0,electrical & electronics,,1.005e+17,1000.0,0.0,0.0,,0.0,1
Amkor Iwate Co,Lam Research Corporation,semiconductor,,,,0.0,,Japan,0.0,semiconductor,1980-01-01,,1001 - 10000,0.0,,United States,0.0,1
Amkor Iwate Co,"Qorvo, Inc.",semiconductor,,,,0.0,,Japan,0.0,semiconductor,,,,,,United States,,1
Amkor Iwate Co,Cypress Semiconductor,semiconductor,,,,0.0,,Japan,0.0,semiconductor,1982-01-01,,,0.0,,United States,0.0,1
Amkor Iwate Co,Lattice Semiconductor Corp,semiconductor,,,,0.0,,Japan,0.0,semiconductor,1983-01-01,,501-1000,0.0,1.0,United States,0.0,1
Amkor Iwate Co,Belden,semiconductor,,,,0.0,,Japan,0.0,semiconductor,1902-01-01,,5001-10000,0.0,,United States,0.0,1
Amkor Iwate Co,CTS Corporation,semiconductor,,,,0.0,,Japan,0.0,semiconductor,,,1001-5000,0.0,,United States,0.0,1
Amkor Iwate Co,Aquantia,semiconductor,,,,0.0,,Japan,0.0,semiconductor,2004-01-01,,101-500,0.0,14.0,United States,0.0,1
Amkor Iwate Co,Resonant Inc,semiconductor,,,,0.0,,Japan,0.0,semiconductor,2012-01-01,,51-100,0.0,3.0,United States,0.0,1
Amlogic,TSMC,semiconductor,1995-01-01,,501-1000,0.0,1.0,United States,0.0,semiconductor,1987-01-01,,10001+,0.0,,Taiwan,0.0,1
Amos Technologies,Dolphin Technology,semiconductor,2014-02-05,$1M,01-10,0.0,,Canada,0.0,semiconductor,1996-01-01,,101-500,0.0,,United States,0.0,1
Amos Technologies,eSilicon,semiconductor,2014-02-05,$1M,01-10,0.0,,Canada,0.0,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,1
Amos Technologies,PLDA,semiconductor,2014-02-05,$1M,01-10,0.0,,Canada,0.0,semiconductor,1996-01-01,$10M to $50M,101-500,0.0,,,0.0,1
Amos Technologies,Rambus,semiconductor,2014-02-05,$1M,01-10,0.0,,Canada,0.0,semiconductor,1990-01-01,,,0.0,,United States,0.0,1
Amphenol,Amphenol ICC,semiconductor,,$1M to $10M,,0.0,,Canada,0.0,electrical & electronics,,,,,,,,1
Amphenol,Amphenol RF,semiconductor,,$1M to $10M,,0.0,,Canada,0.0,electrical & electronics,,110000000000000.0,10001.0,0.0,0.0,,0.0,1
Amphenol,Amphenol PCD,semiconductor,,$1M to $10M,,0.0,,Canada,0.0,electrical & electronics,,110000000000000.0,500.0,0.0,0.0,,0.0,1
API Technologies,Oracle,semiconductor,1993-01-01,,1001-5000,0.0,,United States,0.0,semiconductor,1977-06-16,,10001+,0.0,1.0,United States,0.0,1
API Technologies,Cisco,semiconductor,1993-01-01,,1001-5000,0.0,,United States,0.0,electrical & electronics,,,,,,United States,,1
API Technologies,Broadcom,semiconductor,1993-01-01,,1001-5000,0.0,,United States,0.0,semiconductor,1991-01-01,,10001+,0.0,1.0,United States,0.0,1
API Technologies,Intel,semiconductor,1993-01-01,,1001-5000,0.0,,United States,0.0,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,1
Apollo Electronics,XAC,semiconductor,1968-01-01,$1M to $10M,,0.0,,China,0.0,electrical & electronics,,5.01e+16,500.0,0.0,0.0,,0.0,1
Apollo Electronics,NEC,semiconductor,1968-01-01,$1M to $10M,,0.0,,China,0.0,semiconductor,,,10001+,0.0,,Japan,0.0,1
Apollo Electronics,Fujitsu,semiconductor,1968-01-01,$1M to $10M,,0.0,,China,0.0,semiconductor,1935-01-01,,10001+,0.0,,Japan,0.0,1
Apollo Electronics,Canon,semiconductor,1968-01-01,$1M to $10M,,0.0,,China,0.0,semiconductor,,,,,,Japan,,1
ARM,Intel,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,1
ARM,TSMC,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,1987-01-01,,10001+,0.0,,Taiwan,0.0,1
ARM,Samsung,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,electrical & electronics,,,,,,South Korea,,1
ARM,NEC,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,,,10001+,0.0,,Japan,0.0,1
ARM,ST,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,electrical & electronics,,,,,,Switzerland,,1
ARM,Broadcom,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,1991-01-01,,10001+,0.0,1.0,United States,0.0,1
ARM,AMD,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,,,,0.0,,,0.0,1
ARM,INFINEON,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,electrical & electronics,,,,,,Germany,,1
ARM,Apple,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,1976-04-01,,,0.0,,United States,0.0,1
ARM,Qualcomm,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,1985-01-01,,10001+,0.0,,United States,0.0,1
ARM,Fujitsu,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,1935-01-01,,10001+,0.0,,Japan,0.0,1
ARM,UMC,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,,$10M to $50M,101-500,0.0,,,0.0,1
ARM,Lenovo,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,semiconductor,1984-01-01,,10001+,0.0,6.0,United States,0.0,1
ASIC DESIGN SERVICES,Microsemi,semiconductor,,,,0.0,,South Africa,0.0,semiconductor,1960-01-01,,5001-10000,0.0,,United States,0.0,1
Atria Logic Inc.,AMD,semiconductor,,,11-50,0.0,,,0.0,semiconductor,,,,0.0,,,0.0,1
Atria Logic Inc.,Microsemi,semiconductor,,,11-50,0.0,,,0.0,semiconductor,1960-01-01,,5001-10000,0.0,,United States,0.0,1
Atria Logic Inc.,Samsung,semiconductor,,,11-50,0.0,,,0.0,electrical & electronics,,,,,,South Korea,,1
Atria Logic Inc.,Broadcom,semiconductor,,,11-50,0.0,,,0.0,semiconductor,1991-01-01,,10001+,0.0,1.0,United States,0.0,1
Atria Logic Inc.,Tilera,semiconductor,,,11-50,0.0,,,0.0,semiconductor,2004-01-01,,,0.0,,United States,0.0,1
Aura Semiconductor,ARM,semiconductor,2010-01-01,,,0.0,1.0,,0.0,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,1
AuthenTec,Mitsubishi Electric Corporation,semiconductor,1998-01-01,,101-500,0.0,12.0,United States,0.0,electrical & electronics,,,,,,,,1
Avatar Integrated Systems,Broadcom,semiconductor,2017-01-01,,51-100,0.0,,United States,0.0,semiconductor,1991-01-01,,10001+,0.0,1.0,United States,0.0,1
Avatar Integrated Systems,eSilicon,semiconductor,2017-01-01,,51-100,0.0,,United States,0.0,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,1
Avatar Integrated Systems,INPHI,semiconductor,2017-01-01,,51-100,0.0,,United States,0.0,semiconductor,2000-11-01,,501-1000,0.0,6.0,United States,0.0,1
Avatar Integrated Systems,Xilinx,semiconductor,2017-01-01,,51-100,0.0,,United States,0.0,semiconductor,1984-01-01,,,0.0,,United States,0.0,1
Avatar Integrated Systems,Samsung,semiconductor,2017-01-01,,51-100,0.0,,United States,0.0,electrical & electronics,,,,,,South Korea,,1
Axalume,Accenture,semiconductor,2017-01-01,,,0.0,2.0,United States,0.0,semiconductor,1989-01-01,,,,,Ireland,,1
Axalume,Ansys,semiconductor,2017-01-01,,,0.0,2.0,United States,0.0,semiconductor,1970-01-01,,1001-5000,0.0,,United States,0.0,1
Axalume,ARM,semiconductor,2017-01-01,,,0.0,2.0,United States,0.0,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,1
Axalume,BAE Systems,semiconductor,2017-01-01,,,0.0,2.0,United States,0.0,semiconductor,1997-01-01,,,0.0,,United States,0.0,1
Axalume,Bio-Rad Laboratories,semiconductor,2017-01-01,,,0.0,2.0,United States,0.0,semiconductor,1952-01-01,,1001 - 10000,0.0,,United States,0.0,1
Axalume,Huawei,semiconductor,2017-01-01,,,0.0,2.0,United States,0.0,electrical & electronics,,,,,,China,,1
Axcelis Technologies,Lam Research Corporation,semiconductor,1978-01-01,,501-1000,0.0,,United States,0.0,semiconductor,1980-01-01,,1001 - 10000,0.0,,United States,0.0,1
Axcelis Technologies,Cabot Microelectronics Corporation,semiconductor,1978-01-01,,501-1000,0.0,,United States,0.0,semiconductor,2000-01-01,,1001-5000,0.0,,United States,0.0,1
Axcelis Technologies,"FormFactor, Inc.",semiconductor,1978-01-01,,501-1000,0.0,,United States,0.0,semiconductor,1993-01-01,$551.7M,1001-5000,0.0,,,0.0,1
Axign,Oracle,semiconductor,2014-04-07,$1M to $10M,01-10,0.0,1.0,,0.0,semiconductor,1977-06-16,,10001+,0.0,1.0,United States,0.0,1
Azuro,Broadcom,semiconductor,2002-01-01,,5001-10000,0.0,3.0,United States,0.0,semiconductor,1991-01-01,,10001+,0.0,1.0,United States,0.0,1
Azuro,NVIDIA,semiconductor,2002-01-01,,5001-10000,0.0,3.0,United States,0.0,semiconductor,1993-01-01,,5001-10000,0.0,4.0,United States,0.0,1
Azuro,ST Microelectronics,semiconductor,2002-01-01,,5001-10000,0.0,3.0,United States,0.0,semiconductor,,,,,,Netherlands The,,1
Azuro,Texas Instruments,semiconductor,2002-01-01,,5001-10000,0.0,3.0,United States,0.0,semiconductor,1930-01-01,,10001+,0.0,,United States,0.0,1
Breker Verification Systems,Altera,semiconductor,2003-01-01,,11-50,0.0,1.0,United States,0.0,semiconductor,1983-01-01,,1001-5000,0.0,,United States,0.0,1
Breker Verification Systems,Analog Devices,semiconductor,2003-01-01,,11-50,0.0,1.0,United States,0.0,semiconductor,1965-01-01,,5001-10000,0.0,,United States,0.0,1
Breker Verification Systems,Broadcom,semiconductor,2003-01-01,,11-50,0.0,1.0,United States,0.0,semiconductor,1991-01-01,,10001+,0.0,1.0,United States,0.0,1
Breker Verification Systems,Cavium,semiconductor,2003-01-01,,11-50,0.0,1.0,United States,0.0,semiconductor,,,,0.0,,,0.0,1
Breker Verification Systems,Huawei,semiconductor,2003-01-01,,11-50,0.0,1.0,United States,0.0,electrical & electronics,,,,,,China,,1
Breker Verification Systems,IBM,semiconductor,2003-01-01,,11-50,0.0,1.0,United States,0.0,semiconductor,1911-06-06,,,0.0,,United States,0.0,1
Cadence Design systems,nxp,semiconductor,1988-01-01,,,0.0,,United States,0.0,semiconductor,,,,,,France,,1
Cadence Design systems,STMicroelectronics,semiconductor,1988-01-01,,,0.0,,United States,0.0,semiconductor,1987-01-01,,,0.0,,Switzerland,0.0,1
Cadence Design systems,MultiPhy,semiconductor,1988-01-01,,,0.0,,United States,0.0,semiconductor,2007-01-01,,11-50,0.0,6.0,United States,0.0,1
Cadence Design systems,Altair Semiconductor,semiconductor,1988-01-01,,,0.0,,United States,0.0,semiconductor,2005-05-01,,51-100,0.0,7.0,Israel,0.0,1
Cadence Design systems,Cavium,semiconductor,1988-01-01,,,0.0,,United States,0.0,semiconductor,,,,0.0,,,0.0,1
Cadence Design systems,Freescale Semiconductor,semiconductor,1988-01-01,,,0.0,,United States,0.0,semiconductor,1953-01-01,,10001+,0.0,,United States,0.0,1
Cadence Design systems,Xilinx,semiconductor,1988-01-01,,,0.0,,United States,0.0,semiconductor,1984-01-01,,,0.0,,United States,0.0,1
Cadence Design systems,AMD,semiconductor,1988-01-01,,,0.0,,United States,0.0,semiconductor,,,,0.0,,,0.0,1
Cambricon Technologies,Lenovo,semiconductor,2016-03-01,,501-1000,0.0,15.0,China,0.0,semiconductor,1984-01-01,,10001+,0.0,6.0,United States,0.0,1
Cambricon Technologies,Huawei,semiconductor,2016-03-01,,501-1000,0.0,15.0,China,0.0,electrical & electronics,,,,,,China,,1
Cambridge Positioning Systems,Apple,semiconductor,1993-01-01,,101-500,0.0,3.0,United Kingdom,0.0,semiconductor,1976-04-01,,,0.0,,United States,0.0,1
Cambridge Positioning Systems,LG,semiconductor,1993-01-01,,101-500,0.0,3.0,United Kingdom,0.0,semiconductor,1958-10-01,,10001+,0.0,,,0.0,1
Cambridge Positioning Systems,Motorola,semiconductor,1993-01-01,,101-500,0.0,3.0,United Kingdom,0.0,semiconductor,1928-09-25,,,0.0,,United States,0.0,1
Cambridge Positioning Systems,NEC,semiconductor,1993-01-01,,101-500,0.0,3.0,United Kingdom,0.0,semiconductor,,,10001+,0.0,,Japan,0.0,1
Cambridge Positioning Systems,Samsung,semiconductor,1993-01-01,,101-500,0.0,3.0,United Kingdom,0.0,electrical & electronics,,,,,,South Korea,,1
Cambridge Positioning Systems,Sony Electronics,semiconductor,1993-01-01,,101-500,0.0,3.0,United Kingdom,0.0,semiconductor,,,10001+,0.0,,United States,0.0,1
Cambridge Positioning Systems,Toshiba,semiconductor,1993-01-01,,101-500,0.0,3.0,United Kingdom,0.0,electrical & electronics,,,,,,Japan,,1
Central Semiconductor Corp.,Apex Microtechnology,semiconductor,1974-01-01,$10M to $50M,101-500,0.0,,,0.0,semiconductor,1980-01-01,,51-100,0.0,,United States,0.0,1
CISSOID,Future Electronics,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,,,,,,Canada,,1
CISSOID,Thales,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,electrical & electronics,,,,,,France,,1
Codasip,Mobileye,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,1999-01-01,,,0.0,,,0.0,1
Codasip,Sigma Designs,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,1982-01-01,,501-1000,0.0,,United States,0.0,1
Codasip,Microsemi,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,1960-01-01,,5001-10000,0.0,,United States,0.0,1
Codasip,Rambus,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,1990-01-01,,,0.0,,United States,0.0,1
Codasip,Ubilite,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,2011-01-01,$1M,11-50,0.0,,United States,0.0,1
Codasip,Mythic,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,2012-05-01,$1M to $10M,11-50,0.0,12.0,United States,0.0,1
Compulocks Brands Inc.,Apple,semiconductor,1986-01-01,,,0.0,,United States,0.0,semiconductor,1976-04-01,,,0.0,,United States,0.0,1
Compulocks Brands Inc.,Samsung,semiconductor,1986-01-01,,,0.0,,United States,0.0,electrical & electronics,,,,,,South Korea,,1
Compulocks Brands Inc.,IBM,semiconductor,1986-01-01,,,0.0,,United States,0.0,semiconductor,1911-06-06,,,0.0,,United States,0.0,1
Compulocks Brands Inc.,Boeing,semiconductor,1986-01-01,,,0.0,,United States,0.0,semiconductor,,$153.1B,10001+,0.0,73.0,,0.0,1
Conexant Systems,Oracle,semiconductor,1996-01-01,,501-1000,0.0,,United States,0.0,semiconductor,1977-06-16,,10001+,0.0,1.0,United States,0.0,1
Crank,nxp,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,,Canada,0.0,semiconductor,,,,,,France,,1
Crank,Microchip,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,,Canada,0.0,semiconductor,,,,,,United States,,1
Crank,Embedded Artists,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,,Canada,0.0,semiconductor,,,,,,Sweden,,1
Crank,Fujitsu,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,,Canada,0.0,semiconductor,1935-01-01,,10001+,0.0,,Japan,0.0,1
Crank,Renesas,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,,Canada,0.0,electrical & electronics,,,,,,Japan,,1
Crank,Intel,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,,Canada,0.0,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,1
Crank,Texas Instruments,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,,Canada,0.0,semiconductor,1930-01-01,,10001+,0.0,,United States,0.0,1
D2 Technologies,LG,semiconductor,,,11-50,0.0,,United States,0.0,semiconductor,1958-10-01,,10001+,0.0,,,0.0,1
D2 Technologies,Cisco,semiconductor,,,11-50,0.0,,United States,0.0,electrical & electronics,,,,,,United States,,1
D2 Technologies,NEC,semiconductor,,,11-50,0.0,,United States,0.0,semiconductor,,,10001+,0.0,,Japan,0.0,1
D2 Technologies,Siemens,semiconductor,,,11-50,0.0,,United States,0.0,semiconductor,,,,0.0,,Germany,0.0,1
Dallas Semiconductor,Hewlett Packard,semiconductor,1984-02-01,,,0.0,,United States,0.0,semiconductor,1939-01-01,,,0.0,,United States,0.0,1
Dallas Semiconductor,IBM,semiconductor,1984-02-01,,,0.0,,United States,0.0,semiconductor,1911-06-06,,,0.0,,United States,0.0,1
Dallas Semiconductor,Motorola,semiconductor,1984-02-01,,,0.0,,United States,0.0,semiconductor,1928-09-25,,,0.0,,United States,0.0,1
Dallas Semiconductor,Samsung,semiconductor,1984-02-01,,,0.0,,United States,0.0,electrical & electronics,,,,,,South Korea,,1
Deloitte,Microsoft,semiconductor,,,10001+,0.0,,United States,0.0,semiconductor,1975-04-04,,,0.0,,United States,0.0,1
Deloitte,Boeing,semiconductor,,,10001+,0.0,,United States,0.0,semiconductor,,$153.1B,10001+,0.0,73.0,,0.0,1
Digital Core Design,ABB,semiconductor,,,,0.0,,Poland,0.0,semiconductor,,$250 Mil. and over,,0.0,,,0.0,1
Digital Core Design,Sony Electronics,semiconductor,,,,0.0,,Poland,0.0,semiconductor,,,10001+,0.0,,United States,0.0,1
Digital Core Design,Micron Technology,semiconductor,,,,0.0,,Poland,0.0,semiconductor,1978-01-01,,10001+,0.0,2.0,United States,0.0,1
Digital Core Design,Siemens,semiconductor,,,,0.0,,Poland,0.0,semiconductor,,,,0.0,,Germany,0.0,1
Digital Media Professionals Inc. (DMP Inc.),eSilicon,semiconductor,2002-10-07,,,0.0,,Japan,0.0,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,1
Digital Voice Systems,Analog Devices,semiconductor,,,,0.0,,United States,0.0,semiconductor,1965-01-01,,5001-10000,0.0,,United States,0.0,1
Digital Voice Systems,BAE Systems,semiconductor,,,,0.0,,United States,0.0,semiconductor,1997-01-01,,,0.0,,United States,0.0,1
Digital Voice Systems,Boeing,semiconductor,,,,0.0,,United States,0.0,semiconductor,,$153.1B,10001+,0.0,73.0,,0.0,1
Digital Voice Systems,Hitachi,semiconductor,,,,0.0,,United States,0.0,semiconductor,1959-01-01,,,0.0,,Japan,0.0,1
Digital Voice Systems,Motorola,semiconductor,,,,0.0,,United States,0.0,semiconductor,1928-09-25,,,0.0,,United States,0.0,1
Discretix,Samsung,semiconductor,,,,0.0,,Israel,0.0,electrical & electronics,,,,,,South Korea,,1
Discretix,Motorola,semiconductor,,,,0.0,,Israel,0.0,semiconductor,1928-09-25,,,0.0,,United States,0.0,1
Discretix,LG,semiconductor,,,,0.0,,Israel,0.0,semiconductor,1958-10-01,,10001+,0.0,,,0.0,1
Discretix,Renesas,semiconductor,,,,0.0,,Israel,0.0,electrical & electronics,,,,,,Japan,,1
DongbuHiTek,ARM,semiconductor,,,,0.0,,,0.0,semiconductor,1990-11-01,,5001-10000,0.0,,United Kingdom,0.0,1
DongbuHiTek,Sidense,semiconductor,,,,0.0,,,0.0,semiconductor,2004-01-01,,11-50,0.0,8.0,Canada,0.0,1
DongbuHiTek,Kilopass,semiconductor,,,,0.0,,,0.0,semiconductor,2001-01-01,,51-100,0.0,6.0,United States,0.0,1
Dongha Corporation,Kinsus,semiconductor,,,51-100,0.0,,,0.0,electrical & electronics,,0.0,5000.0,0.0,0.0,,0.0,1
Duocom Industries Inc.,Samsung,semiconductor,,,,0.0,,,0.0,electrical & electronics,,,,,,South Korea,,1
Duocom Industries Inc.,LG,semiconductor,,,,0.0,,,0.0,semiconductor,1958-10-01,,10001+,0.0,,,0.0,1
Duocom Industries Inc.,Signetics,semiconductor,,,,0.0,,,0.0,semiconductor,1966-01-01,,5001-10000,0.0,,,0.0,1
Duocom Industries Inc.,nxp,semiconductor,,,,0.0,,,0.0,semiconductor,,,,,,France,,1
e2v Inc.,Boeing,semiconductor,,$250 Mil. and over  ,101-500,0.0,,,0.0,semiconductor,,$153.1B,10001+,0.0,73.0,,0.0,1
e2v Inc.,Siemens,semiconductor,,$250 Mil. and over  ,101-500,0.0,,,0.0,semiconductor,,,,0.0,,Germany,0.0,1
e2v Inc.,Andor Technology,semiconductor,,$250 Mil. and over  ,101-500,0.0,,,0.0,electrical & electronics,,0.0,500.0,0.0,1.0,,0.0,1
Easics,IMEC,semiconductor,,,,0.0,,Belgium,0.0,semiconductor,,$510M,1001-5000,0.0,,,0.0,1
Elantec Semiconductor,Hitachi,semiconductor,1983-01-01,,,0.0,,United States,0.0,semiconductor,1959-01-01,,,0.0,,Japan,0.0,1
Elantec Semiconductor,Lucent Microelectronics,semiconductor,1983-01-01,,,0.0,,United States,0.0,semiconductor,,,,0.0,,,0.0,1
Elantec Semiconductor,Motorola,semiconductor,1983-01-01,,,0.0,,United States,0.0,semiconductor,1928-09-25,,,0.0,,United States,0.0,1
Elantec Semiconductor,Olympus,semiconductor,1983-01-01,,,0.0,,United States,0.0,semiconductor,,$7.7M,10001+,0.0,,Japan,0.0,1
Elantec Semiconductor,Ricoh Company,semiconductor,1983-01-01,,,0.0,,United States,0.0,semiconductor,1962-02-06,,10001+,0.0,,Japan,0.0,1
Elantec Semiconductor,Samsung,semiconductor,1983-01-01,,,0.0,,United States,0.0,electrical & electronics,,,,,,South Korea,,1
Elantec Semiconductor,Toshiba,semiconductor,1983-01-01,,,0.0,,United States,0.0,electrical & electronics,,,,,,Japan,,1
Elantec Semiconductor,Yamaha,semiconductor,1983-01-01,,,0.0,,United States,0.0,semiconductor,,,,0.0,,United States,0.0,1
"Electro-Comp Tape and Reel Services, LLC",AMD,semiconductor,,Under $1 Mil  ,01-10,0.0,,,0.0,semiconductor,,,,0.0,,,0.0,1
"Electro-Comp Tape and Reel Services, LLC",Analog Devices,semiconductor,,Under $1 Mil  ,01-10,0.0,,,0.0,semiconductor,1965-01-01,,5001-10000,0.0,,United States,0.0,1
"Electro-Comp Tape and Reel Services, LLC",Motorola,semiconductor,,Under $1 Mil  ,01-10,0.0,,,0.0,semiconductor,1928-09-25,,,0.0,,United States,0.0,1
"Electro-Comp Tape and Reel Services, LLC",National Semiconductor,semiconductor,,Under $1 Mil  ,01-10,0.0,,,0.0,semiconductor,1959-01-01,,5001-10000,0.0,,United States,0.0,1
"Electro-Comp Tape and Reel Services, LLC",Samsung,semiconductor,,Under $1 Mil  ,01-10,0.0,,,0.0,electrical & electronics,,,,,,South Korea,,1
"Electro-Comp Tape and Reel Services, LLC",Texas Instruments,semiconductor,,Under $1 Mil  ,01-10,0.0,,,0.0,semiconductor,1930-01-01,,10001+,0.0,,United States,0.0,1
"Electro-Comp Tape and Reel Services, LLC",Vishay,semiconductor,,Under $1 Mil  ,01-10,0.0,,,0.0,semiconductor,1962-01-01,,10001+,0.0,,United States,0.0,1
"Electro-Comp Tape and Reel Services, LLC",Xilinx,semiconductor,,Under $1 Mil  ,01-10,0.0,,,0.0,semiconductor,1984-01-01,,,0.0,,United States,0.0,1
Elsys America,nxp,semiconductor,2000-01-01,$500M to $1B,501-1000,0.0,,United States,0.0,semiconductor,,,,,,France,,1
Elsys America,Schneider Electric,semiconductor,2000-01-01,$500M to $1B,501-1000,0.0,,United States,0.0,semiconductor,,$100M to $500M,10001+,0.0,2.0,France,0.0,1
